influencer_name,influencer_linkedin_url,content,content_type,post_url,posted_at,likes,comments,topic,collected_at,verification_status,engagement_note,source_url
"Shawn Hodges, PharmD",https://www.linkedin.com/in/shawn-hodges-pharmd-a96a249,"Hodges reacts to PCAC votes recommending four peptides and emphasizes the supporting scientific, quality, R&D, and clinical work behind the submissions.",public_post_summary,https://www.linkedin.com/posts/shawn-hodges-pharmd-a96a249_wow-what-a-day-the-fdas-pharmacy-compounding-activity-7486205519251202048-DCDG,2026-07-23,127,10,Regulatory / Peptides,2026-09-07,publicly_verified,Visible public LinkedIn snapshot; blank values mean the count was not consistently exposed.,https://www.linkedin.com/posts/shawn-hodges-pharmd-a96a249_wow-what-a-day-the-fdas-pharmacy-compounding-activity-7486205519251202048-DCDG
Shaun Noorian,https://www.linkedin.com/in/shaun-noorian,"Noorian discusses supply-chain resilience through redundant supplier qualification, strategic inventory depth, and full quality testing of incoming ingredient lots.",public_post_summary,https://www.linkedin.com/posts/shaun-noorian_this-is-our-inventory-raw-active-pharmaceutical-activity-7479904508655935488-FXfF,2026-07-06,,,Supply Chain / Testing,2026-09-07,publicly_verified,Visible public LinkedIn snapshot; blank values mean the count was not consistently exposed.,https://www.linkedin.com/posts/shaun-noorian_this-is-our-inventory-raw-active-pharmaceutical-activity-7479904508655935488-FXfF
"Patricia C. Kienle, RPh, MPA, BCSCP, FASHP",https://www.linkedin.com/in/patricia-kienle,Kienle highlights an update on USP <800> compliance and hazardous-drug handling using current pharmacy compliance survey results.,public_post_summary,https://www.linkedin.com/posts/patricia-kienle_ppp-s-usp-800-compliance-update-2026-activity-7479947580597006338-NwQ3,2026-07-06,120,3,USP <800> / Hazardous Drugs,2026-09-07,publicly_verified,Visible public LinkedIn snapshot; blank values mean the count was not consistently exposed.,https://www.linkedin.com/posts/patricia-kienle_ppp-s-usp-800-compliance-update-2026-activity-7479947580597006338-NwQ3
"Jonathan Adly, PharmD, MBA",https://www.linkedin.com/in/jonathan-adly,Adly argues that pharmacies should automate e-prescription data entry because structured repetitive work consumes technician time better spent on higher-value tasks.,public_post_summary,https://www.linkedin.com/posts/jonathan-adly_hot-take-every-single-pharmacy-should-be-activity-7476273161693597696-lj-i,2026-06-26,,15,Automation / Pharmacy Operations,2026-09-07,publicly_verified,Visible public LinkedIn snapshot; blank values mean the count was not consistently exposed.,https://www.linkedin.com/posts/jonathan-adly_hot-take-every-single-pharmacy-should-be-activity-7476273161693597696-lj-i
"Jonathan Adly, PharmD, MBA",https://www.linkedin.com/in/jonathan-adly,Adly announces TJM Labs' partnership with PCCA and positions automation as part of the compounding-pharmacy technology ecosystem.,public_post_summary,https://www.linkedin.com/posts/jonathan-adly_we-are-super-excited-about-having-pcca-as-activity-7475560287408947200-XCuN,2026-06-24,,,Automation / Compounding Ecosystem,2026-09-07,publicly_verified,Visible public LinkedIn snapshot; blank values mean the count was not consistently exposed.,https://www.linkedin.com/posts/jonathan-adly_we-are-super-excited-about-having-pcca-as-activity-7475560287408947200-XCuN
"Patricia C. Kienle, RPh, MPA, BCSCP, FASHP",https://www.linkedin.com/in/patricia-kienle,Kienle shares an interactive education resource on applying USP <797> standards when assigning beyond-use dates for compounded sterile preparations.,public_post_summary,https://www.linkedin.com/posts/patricia-kienle_level-up-your-bud-game-an-interactive-choose-activity-7473450796681170944-3tqx,2026-06-18,91,3,USP <797> / Sterile Compounding,2026-09-07,publicly_verified,Visible public LinkedIn snapshot; blank values mean the count was not consistently exposed.,https://www.linkedin.com/posts/patricia-kienle_level-up-your-bud-game-an-interactive-choose-activity-7473450796681170944-3tqx
"Jonathan Adly, PharmD, MBA",https://www.linkedin.com/in/jonathan-adly,"Adly describes a compounding-pharmacy acquisition model where automation is used to reduce labor burden, improve consistency, and increase operating margins.",public_post_summary,https://www.linkedin.com/posts/jonathan-adly_theres-a-compounding-pharmacy-in-texas-with-activity-7473004150554021891-chTg,2026-06-17,,,Automation / Pharmacy Business,2026-09-07,publicly_verified,Visible public LinkedIn snapshot; blank values mean the count was not consistently exposed.,https://www.linkedin.com/posts/jonathan-adly_theres-a-compounding-pharmacy-in-texas-with-activity-7473004150554021891-chTg
"Viral Jani, PharmD",https://www.linkedin.com/in/viral-jani-pharm-d-a124b3100,"Jani promotes an education session on endocrine disruptors, hormone optimization, and separating evidence from misinformation in compounding practice.",public_post_summary,https://www.linkedin.com/posts/viral-jani-pharm-d-a124b3100_compounding-educon2026-pharmacyce-activity-7470138702183366656-VTZS,2026-06-09,,1,Hormones / Education,2026-09-07,publicly_verified,Visible public LinkedIn snapshot; blank values mean the count was not consistently exposed.,https://www.linkedin.com/posts/viral-jani-pharm-d-a124b3100_compounding-educon2026-pharmacyce-activity-7470138702183366656-VTZS
"Amy Summers, PharmD, BCSCP, FAPC",https://www.linkedin.com/in/amy-summers-pharmd-bcscp-fapc-20b04a93,"Summers previews discussions on telepharmacy, direct-to-patient care, and designing 503B facilities that are operationally sound and inspection-ready.",public_post_summary,https://www.linkedin.com/posts/amy-summers-pharmd-bcscp-fapc-20b04a93_amy-summers-pharmd-bcscp-fapc-consultant-activity-7469792271480242177-C08q,2026-06-08,51,4,503B / Compliance / Telepharmacy,2026-09-07,publicly_verified,Visible public LinkedIn snapshot; blank values mean the count was not consistently exposed.,https://www.linkedin.com/posts/amy-summers-pharmd-bcscp-fapc-20b04a93_amy-summers-pharmd-bcscp-fapc-consultant-activity-7469792271480242177-C08q
"Viral Jani, PharmD",https://www.linkedin.com/in/viral-jani-pharm-d-a124b3100,"Jani describes Capitol Hill advocacy on the role of compounding pharmacies in access to personalized, medically necessary medications.",public_post_summary,https://www.linkedin.com/posts/viral-jani-pharm-d-a124b3100_compoundingpharmacy-pcca-act2026-activity-7460733131906576384-qgu2,2026-05-14,,,Advocacy / Patient Access,2026-09-07,publicly_verified,Visible public LinkedIn snapshot; blank values mean the count was not consistently exposed.,https://www.linkedin.com/posts/viral-jani-pharm-d-a124b3100_compoundingpharmacy-pcca-act2026-activity-7460733131906576384-qgu2
"Jonathan Adly, PharmD, MBA",https://www.linkedin.com/in/jonathan-adly,Adly describes a provider portal built for compounding pharmacies so prescribers can electronically order customized formulations without fax or manual re-entry.,public_post_summary,https://www.linkedin.com/posts/jonathan-adly_compounding-pharmacies-kept-bringing-me-the-activity-7455979468906557440-0sov,2026-05-01,,15,Compounding Technology / E-Prescribing,2026-09-07,publicly_verified,Visible public LinkedIn snapshot; blank values mean the count was not consistently exposed.,https://www.linkedin.com/posts/jonathan-adly_compounding-pharmacies-kept-bringing-me-the-activity-7455979468906557440-0sov
Eric S. Kastango,https://www.linkedin.com/in/erickastango,Kastango highlights FDA guidance clarifying policies for compounders as national GLP-1 supply stabilizes and the shortage-driven market changes.,public_post_summary,https://www.linkedin.com/posts/erickastango_cder-update-activity-7455990170551582720-Zr90,2026-05-01,,2,Regulatory / GLP-1,2026-09-07,publicly_verified,Visible public LinkedIn snapshot; blank values mean the count was not consistently exposed.,https://www.linkedin.com/posts/erickastango_cder-update-activity-7455990170551582720-Zr90
"Amy Summers, PharmD, BCSCP, FAPC",https://www.linkedin.com/in/amy-summers-pharmd-bcscp-fapc-20b04a93,"Summers discusses right-sized automation for 503A pharmacies and 503B outsourcing facilities, emphasizing operational and validation considerations before equipment purchases.",public_post_summary,https://www.linkedin.com/posts/amy-summers-pharmd-bcscp-fapc-20b04a93_503a-503b-activity-7452792182861758464-Ugzm,2026-04-22,,,503A / 503B / Validation,2026-09-07,publicly_verified,Visible public LinkedIn snapshot; blank values mean the count was not consistently exposed.,https://www.linkedin.com/posts/amy-summers-pharmd-bcscp-fapc-20b04a93_503a-503b-activity-7452792182861758464-Ugzm
"Shawn Hodges, PharmD",https://www.linkedin.com/in/shawn-hodges-pharmd-a96a249,"Hodges explains that removing peptides from FDA Category 2 is only one step and stresses human-drug-quality API, evidence, supplier work, and standards.",public_post_summary,https://www.linkedin.com/posts/shawn-hodges-pharmd-a96a249_fda-moved-to-remove-12-peptides-from-the-activity-7450623367424053248-yHKM,2026-04-16,,,Regulatory / Quality / Peptides,2026-09-07,publicly_verified,Visible public LinkedIn snapshot; blank values mean the count was not consistently exposed.,https://www.linkedin.com/posts/shawn-hodges-pharmd-a96a249_fda-moved-to-remove-12-peptides-from-the-activity-7450623367424053248-yHKM
"Viral Jani, PharmD",https://www.linkedin.com/in/viral-jani-pharm-d-a124b3100,"Jani announces his COO role at Town & Country Compounding and describes compounding pharmacy as requiring precision, accountability, and strong team execution.",public_post_summary,https://www.linkedin.com/posts/viral-jani-pharm-d-a124b3100_excited-to-share-that-ive-recently-stepped-activity-7445091531125899264-EJm7,2026-04-01,239,54,Pharmacy Operations / Leadership,2026-09-07,publicly_verified,Visible public LinkedIn snapshot; blank values mean the count was not consistently exposed.,https://www.linkedin.com/posts/viral-jani-pharm-d-a124b3100_excited-to-share-that-ive-recently-stepped-activity-7445091531125899264-EJm7
"Viral Jani, PharmD",https://www.linkedin.com/in/viral-jani-pharm-d-a124b3100,Jani reflects on the APC Owner Summit and the value of direct conversations among leaders shaping fast-moving compounding-pharmacy operations and standards.,public_post_summary,https://www.linkedin.com/posts/viral-jani-pharm-d-a124b3100_the-best-investment-in-any-business-is-still-activity-7439452039023271936-LZJ6,2026-03-16,,3,Industry Leadership / Operations,2026-09-07,publicly_verified,Visible public LinkedIn snapshot; blank values mean the count was not consistently exposed.,https://www.linkedin.com/posts/viral-jani-pharm-d-a124b3100_the-best-investment-in-any-business-is-still-activity-7439452039023271936-LZJ6
Eric S. Kastango,https://www.linkedin.com/in/erickastango,"Kastango reflects on patient safety, GLP-1 compounding, contamination control, supply-chain concerns, and evidence-based policy after retiring from consulting.",public_post_summary,https://www.linkedin.com/posts/erickastango_patientsafety-compounding-pharmacy-activity-7413263859823689728-pK-I,2026-01-03,,15,Patient Safety / Quality,2026-09-07,publicly_verified,Visible public LinkedIn snapshot; blank values mean the count was not consistently exposed.,https://www.linkedin.com/posts/erickastango_patientsafety-compounding-pharmacy-activity-7413263859823689728-pK-I
Eric S. Kastango,https://www.linkedin.com/in/erickastango,Kastango advises 503A and 503B operations to prepare formal procedures and disciplined communication for FDA or state-board inspections.,public_post_summary,https://www.linkedin.com/posts/erickastango_things-to-consider-if-either-the-fda-or-the-activity-7409155155276812288-396U,2025-12-23,,,Inspection Readiness / Compliance,2026-09-07,publicly_verified,Visible public LinkedIn snapshot; blank values mean the count was not consistently exposed.,https://www.linkedin.com/posts/erickastango_things-to-consider-if-either-the-fda-or-the-activity-7409155155276812288-396U
"Amy Summers, PharmD, BCSCP, FAPC",https://www.linkedin.com/in/amy-summers-pharmd-bcscp-fapc-20b04a93,Summers announces an APC Owner Summit session focused on practical insights from consulting with 503A pharmacies and 503B outsourcing facilities.,public_post_summary,https://www.linkedin.com/posts/amy-summers-pharmd-bcscp-fapc-20b04a93_apc-owner-summit-2026-annual-event-for-activity-7402098137332699136-oZ11,2025-12-03,,,503A / 503B / Industry Education,2026-09-07,publicly_verified,Visible public LinkedIn snapshot; blank values mean the count was not consistently exposed.,https://www.linkedin.com/posts/amy-summers-pharmd-bcscp-fapc-20b04a93_apc-owner-summit-2026-annual-event-for-activity-7402098137332699136-oZ11
